No.;Common Name;Scientific Name;Abundance;Status
263;Common Iora;Aegithina tiphia;C;RB
Family Campephagidae;;;;
 264;Lesser Cuckooshrike ##;Coracina fimbriata ;R;R(B)
 265;Pied Triller;Lalage nigra;C;RB
 266;Ashy Minivet;Pericrocotus divaricatus;C;WV PM
 267;Scarlet Minivet;Pericrocotus speciosus;R;R(B)
Family Pachycephalidae;;;;
 268;Mangrove Whistler #;Pachycephala cinerea;R;RB
Family Laniidae;;;;
269;Tiger Shrike;Lanius tigrinus;C;WV PM
 270;Brown Shrike;Lanius cristatus;C;WV PM
 271;Long-tailed Shrike;Lanius schach;U;RB
Family Oriolidae;;;;
272;Black-naped Oriole;Oriolus chinensis;C;RB
Family Dicruridae;;;;
 273;Black Drongo;Dicrurus macrocercus;U;WV PM
 274;Ashy Drongo;Dicrurus leucophaeus;R;WV
 275;Crow-billed Drongo;Dicrurus annectans;U;WV PM
 276;Greater Racket-tailed Drongo;Dicrurus paradiseus;C;RB
Family Rhipiduridae;;;;
 277;Malaysian Pied Fantail;Rhipidura javanica;C;RB
Family Monarchidae;;;;
 278;Black-naped Monarch ##;Hypothymis azurea;R;R(B)
 279;Indian Paradise Flycatcher ;Terpsiphone paradisi;R;ACC
 280;Blyth's Paradise Flycatcher;Terpsiphone affinis;U;PM WV
 281;Amur Paradise Flycatcher;Terpsiphone incei ;C;PM WV
282;Japanese Paradise Flycatcher *;Terpsiphone atrocaudata;R;PM
Family Corvidae;;;;
 283;House Crow;Corvus splendens;C;IRB
 284;Large-billed Crow;Corvus macrorhynchos;U;RB
Family Pycnonotidae;;;;
 285;Straw-headed Bulbul ##**;Pycnonotus zeylanicus;U;RB
 286;Black-and-white Bulbul *;Pycnonotus melanoleucos;R;NBV
 287;Black-headed Bulbul ##;Pycnonotus atriceps;R;RB
 288;Black-crested Bulbul;Pycnonotus flaviventris;U;IRB
 289;Red-whiskered Bulbul;Pycnonotus jocosus;U;IRB
 290;Sooty-headed Bulbul;Pycnonotus aurigaster;U;IRB
 291;Yellow-vented Bulbul;Pycnonotus goiavier;A;RB
 292;Olive-winged Bulbul;Pycnonotus plumosus;C;RB
 293;Cream-vented Bulbul #;Pycnonotus simplex;U;RB
 294;Asian Red-eyed Bulbul ##;Pycnonotus brunneus;U;RB
 295;Buff-vented Bulbul ##*;Iole olivacea;R;R(B)
 296;Streaked Bulbul *;Ixos malaccensis;R;NBV
 297;Cinereous Bulbul;Hemixos cinereus;U;NBV
Family Hirundinidae;;;;
 298;Sand Martin;Riparia riparia;U;WV PM
 299;Barn Swallow;Hirundo rustica;A;WV PM
 300;Pacific Swallow;Hirundo tahitica;C;RB
 301;Asian House Martin;Delichon dasypus;R;PM
 302;Red-rumped Swallow;Cecropis daurica;U;PM WV
Family Phylloscopidae;;;;
303;Dusky Warbler;Phylloscopus fuscatus;R;PM
304;Yellow-browed Warbler;Phylloscopus inornatus;R;PM WV
 305;Arctic Warbler;Phylloscopus borealis;C;WV PM
 306;Sakhalin Leaf Warbler;Phylloscopus borealoides;R;ACC
 307;Eastern Crowned Warbler;Phylloscopus coronatus;U;WV
Family Acrocephalidae;;;;
 308;Oriental Reed Warbler;Acrocephalus orientalis;C;WV
 309;Black-browed Reed Warbler;Acrocephalus bistrigiceps;U;WV
 310;Booted Warbler;Iduna caligata;R;ACC
Family Locustellidae;;;;
 311;Lanceolated Warbler;Locustella lanceolata;U;WV PM
 312;Pallas's Grasshopper Warbler;Locustella certhiola;U;WV PM
Family Cisticolidae;;;;
 313;Zitting Cisticola;Cisticola juncidis;C;RB
 314;Yellow-bellied Prinia;Prinia flaviventris;C;RB
 315;Common Tailorbird;Orthotomus sutorius;C;RB
 316;Dark-necked Tailorbird;Orthotomus atrogularis;C;RB
 317;Rufous-tailed Tailorbird;Orthotomus sericeus;U;RB
 318;Ashy Tailorbird;Orthotomus ruficeps;C;RB
Family Timaliidae;;;;
 319;Chestnut-winged Babbler ##;Stachyris erythroptera;U;RB
 320;Pin-striped Tit-Babbler;Macronous gularis;C;RB
Family Pellorneidae;;;;
 321;Abbott's Babbler;Malacocincla abbotti;U;RB
 322;Short-tailed Babbler *;Malcocincla malaccensis;C;RB
 323;Moustached Babbler ##;Malacopteron magnirostre;R;RB
 324;White-chested Babbler ##*;Trichastoma rostratum;R;RB
Family Leiothrichidae;;;;
 325;Chinese Hwamei;Garrulax canorus;R;IRB
 326;White-crested Laughingthrush;Garrulax leucolophus;C;IRB
Family Zosteropidae;;;;
 327;Oriental White-eye;Zosterops palpebrosus;C;I? RB
Family Irenidae;;;;
 328;Asian Fairy-bluebird #;Irena puella;U;RB
Family Sturnidae;;;;
 329;Asian Glossy Starling;Aplonis panayensis;C;RB
 330;Common Hill Myna #;Gracula religiosa;U ;RB
 331;Crested Myna;Acridotheres cristatellus;R;IRB
 332;Javan Myna **;Acridotheres javanicus;A;IRB
 333;Common Myna;Acridotheres tristis;C;RB
 334;Black-winged Starling **;Acridotheres melanopterus;R;IRB
 335;Red-billed Starling;Spodiopsar sericeus ;R;PM
 336;Daurian Starling ;Agropsar sturninus;C;WV PM
337;Chestnut-cheeked Starling;Agropsar philippensis;R;ACC
 338;White-shouldered Starling;Sturnia sinensis;U;WV PM
 339;Rosy Starling ;Pastor roseus;R;ACC
Family Turdidae;;;;
 340;Orange-headed Thrush ;Geokichla citrina;U;WV
 341;Siberian Thrush ;Geokichla sibirica;R;PM
 342;Eyebrowed Thrush ;Turdus obscurus;U;PM
Family Muscicapidae;;;;
343;Oriental Magpie-Robin ##;Copsychus saularis;U;RB
344;White-rumped Shama ##;Copsychus malabaricus;U;RB
345;Grey-streaked Flycatcher ;Muscicapa griseisticta;R;ACC
346;Dark-sided Flycatcher;Muscicapa sibirica;U;WV PM
347;Asian Brown Flycatcher;Muscicapa latirostris;C;WV PM
348;Brown-streaked Flycatcher ;Muscicapa williamsoni;R;WV
349;Ferruginous Flycatcher ;Muscicapa ferruginea;U;WV PM
350;Chinese Blue Flycatcher ;Cyornis glaucicomans;R;ACC
351;Mangrove Blue Flycatcher ##;Cyornis rufigastra;R;RB
352;Brown-chested Jungle Flycatcher ## ;Cyornis brunneatus;U;WV PM
353;Blue-and-white Flycatcher ;Cyanoptila cyanomelana;R;PM
354;Zappey's Flycatcher * ;Cyanoptila cumatilis;R;PM
 355;Verditer Flycatcher ;Eumyias thalassinus;R;NBV
356;Siberian Blue Robin;Larvivora cyane;C;PM WV
357;Yellow-rumped Flycatcher ;Ficedula zanthopygia;U;PM
 358;Narcissus Flycatcher ;Ficedula narcissina;R;ACC
 359;Green-backed Flycatcher ;Ficedula elisae;R;WV PM
 360;Mugimaki Flycatcher ;Ficedula mugimaki;U;PM
 361;Blue Rock Thrush ;Monticola solitarius;R;PM
362;White-throated Rock Thrush;Monticola gularis;R;WV PM
 363;Stejneger’s Stonechat ;Saxicola stejnegeri;R;WV PM
Family Chloropseidae ;;;;
 364;Greater Green Leafbird ## ;Chloropsis sonnerati;U;R(B)
 365;Lesser Green Leafbird ##* ;Chloropsis cyanopogon;U;R(B) 
 366;Blue-winged Leafbird # ;Chloropsis cochinchinensis;C;R(B)
Family Dicaeidae ;;;;
 367;Scarlet-breasted Flowerpecker * ;Prionochilus thoracicus;R;NBV
 368;Thick-billed Flowerpecker;Dicaeum agile;R;NBV 
 369;Yellow-vented Flowerpecker ## ;Dicaeum chrysorrheum;R;R(B)
 370;Orange-bellied Flowerpecker ;Dicaeum trigonostigma;C;RB
 371;Scarlet-backed Flowerpecker ;Dicaeum cruentatum;C;RB
Family Nectariniidae ;;;;
 372;Ruby-cheeked Sunbird ;Chalcoparia singalensis;R ;NBV
373;Plain Sunbird ##;Anthreptes simplex;R;R(B)
 374;Brown-throated Sunbird ;Anthreptes malacensis;C;RB
 375;Van Hasselt's Sunbird ;Leptocoma brasiliana;C;RB
 376;Copper-throated Sunbird # ;Leptocoma calcostetha;U;RB
 377;Olive-backed Sunbird;Cinnyris jugularis;C;RB
 378;Crimson Sunbird;Aethopyga siparaja;C;RB
 379;Little Spiderhunter ;Arachnothera longirostra;U;RB
 380;Thick-billed Spiderhunter ##;Arachnothera crassirostris;R;R(B)
 381;Yellow-eared Spiderhunter ## ;Arachnothera chrysogenys;R;R(B)
Family Passeridae ;;;;
 382;House Sparrow;Passer domesticus;R;IRB
 383;Eurasian Tree Sparrow;Passer montanus;C;RB (I)?
Family Ploceidae ;;;;
 384;Streaked Weaver;Ploceus manyar;R;RB (I)?
 385;Baya Weaver ;Ploceus philippinus;U;RB
Family Estrildidae ;;;;
 386;Red Avadavat;Amandava amandava;U;IRB
 387;White-rumped Munia ##;Lonchura striata;R;RB
 388;Javan Munia;Lonchura leucogastroides;U;IRB
 389;Scaly-breasted Munia;Lonchura punctulata;C;RB
 390;White-capped Munia;Lonchura ferruginosa;R;IRB
 391;Chestnut Munia ;Lonchura atricapilla;U;RB
 392;White-headed Munia ;Lonchura maja;U;RB
 393;Java Sparrow ** ;Lonchura oryzivora;R;IRB
Family Motacillidae ;;;;
 394;Forest Wagtail;Dendronanthus indicus;U;WV PM
 395;Eastern Yellow Wagtail ;Motacilla tschutschensis;C;WV
 396;Citrine Wagtail;Motacilla citreola;R;WV
 397;Grey Wagtail;Motacilla cinerea;U ;WV PM
 398;White Wagtail;Motacilla alba;U;WV
 399;Richard's Pipit ;Anthus richardi;R;ACC
 400;Paddyfield Pipit;Anthus rufulus;C;RB
 401;Olive-backed Pipit;Anthus hodgsoni;R ;ACC
 402;Red-throated Pipit ;Anthus cervinus;U;WV
Family Emberizidae ;;;;
 403;Yellow-breasted Bunting **;Emberiza aureola;R;WV
